Код;Наименование;Иерархия;Артикул;Количество;Цена;Бренд;ИмяФайлаИзображения;Новинка;HAPPY_МОЛЛОстаток;ГлобусОстаток;ЛазурныйОстаток;ОранжевыйОстаток;ПассажОстаток;ТауОстаток;10 летняя батарея;Bluetooth;Барометр\альтиметр;Браслет;Будильник;Включение,отключение звука кнопок;Водозащита;Грязеустойчивость;Дополнительно;Индикатор приливов и отливов;Индикатор уровня заряда аккумулятора;Компас;Материал корпуса;Мелодия;Мировое время;Отображение данных о Луне;Пол;Прием радиосигнала точного времени;Размер корпуса;Резерв хода;Сверх яркая подсветка;Связь со смартфоном;Скидка;Солнечная батарея;Стекло;Страна бренда;Страна производитель;Таймер;Таймер рыбалки;Термометр;Тип механизма;Ударопрочность;Устойчивость к воздействию магнитного поля;Форма корпуса;Функция поиска телефона;Функция секундомера;Хит продаж;Ход стрелки;Хронограф;Циферблат;Шагомер;ЦенаСоСкидкой;
Ц0000019997;1363 BKTT Anne Klein;ЧАСЫ/Наручные/Anne Klein;1363 BKTT;2;9790;Anne Klein;1363 BKTT.jpg;0;0;0;0;0;1;1;;;;Стальной с PVD покрытием;;;WR;;;;;;Сталь с PVD покрытием;;;;Женские;;32;;;;;;Минеральное;США;США;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;9790;
Ц0000019773;1363 BNRT Anne Klein;ЧАСЫ/Наручные/Anne Klein;1363 BNRT;1;9790;Anne Klein;1363 BNRT.jpg;0;0;0;1;0;0;0;;;;Стальной с PVD покрытием;;;WR;;;;;;Сталь с PVD покрытием;;;;Женские;;32;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;;;9790;
Ц0000013016;1363 NVTT Anne Klein;ЧАСЫ/Наручные/Anne Klein;1363 NVTT;1;9350;Anne Klein;1363 NVTT.jpg;0;0;0;0;0;1;0;;;;Стальной с частичным PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;32;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;9350;
Ц0000019264;1363 SVRT Anne Klein;ЧАСЫ/Наручные/Anne Klein;1363 SVRT;2;9790;Anne Klein;1363 SVRT.jpg;0;0;0;1;0;0;1;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;32;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;9790;
Ц0000011895;1363 SVSV Anne Klein;ЧАСЫ/Наручные/Anne Klein;1363 SVSV;2;9790;Anne Klein;1363 SVSV.jpg;0;0;0;1;0;1;0;;;;Стальной;;;WR 30m;;;;;;Нержавеющая сталь ;;;;Женские;;32;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;Да;;;Стрелочный;;9790;
Ц0000001874;1394 MPTE Anne Klein;ЧАСЫ/Наручные/Anne Klein;1394 MPTE;1;7090;Anne Klein;1394-MPTE.jpg;0;0;0;0;0;0;1;;;;Кожаный ремешок;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;26;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;7090;
Ц0000001876;1400 RGWT Anne Klein;ЧАСЫ/Наручные/Anne Klein;1400 RGWT;1;8190;Anne Klein;1400-RGWT.jpg;0;0;0;1;0;0;0;;;;Кожаный ремешок;;;WR 30m;;;;;;Сталь с IP покрытием;;;;Женские;;36;;;;40;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;4914;
Ц0000004866;1408 BKBN Anne Klein;ЧАСЫ/Наручные/Anne Klein;1408 BKBN;1;8080;Anne Klein;81lx6fD0P3L._UY550_.jpg;0;0;0;0;0;0;1;;;;Пластик, Сталь;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;36;;;;15;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;6868;
СТ000007887;1408 CHTO Anne Klein;ЧАСЫ/Наручные/Anne Klein;1408 CHTO;1;8080;Anne Klein;1408-CHTO.jpg;0;0;0;0;0;1;0;;;;Пластик, Сталь;;;WR 30m;;;;;;Сталь с частичным PVD покрытием;;;;Женские;;36;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8080;
Ц0000019468;1413 LBSV Anne Klein;ЧАСЫ/Наручные/Anne Klein;1413 LBSV;1;8490;Anne Klein;1413 LBSV.jpg;0;0;0;0;0;1;0;;;;Пластик, Сталь;;;WR 30m;;;;;;Нержавеющая сталь ;;;;Женские;;37;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;;;8490;
Ц0000001879;1414 WTRG Anne Klein;ЧАСЫ/Наручные/Anne Klein;1414 WTRG;1;9450;Anne Klein;1414-WTRG.jpg;0;0;0;0;0;1;0;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;34;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;9450;
Ц0000004867;1441 SVTT Anne Klein;ЧАСЫ/Наручные/Anne Klein;1441 SVTT;1;7290;Anne Klein;1766789_fpx.jpg;0;0;0;0;0;1;0;;;;Стальной с частичным PVD покрытием;;;WR 30m;;;;;;Сталь с частичным PVD покрытием;;;;Женские;;29;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;7290;
Ц0000001884;1445 WTSV Anne Klein;ЧАСЫ/Наручные/Anne Klein;1445 WTSV;2;12890;Anne Klein;1445-WTSV.jpg;0;0;0;1;0;0;1;;;;Керамика, сталь;;;WR 30m;;;;;;Нержавеющая сталь ;;;;Женские;;35;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;12890;
Ц0000001886;1500 WTWT  Anne Klein;ЧАСЫ/Наручные/Anne Klein;1500 WTWT;1;7090;Anne Klein;1500-WTWT.jpg;0;0;0;0;0;1;0;;;;Керамика, сталь;;;WR 30m;;;;;;Нержавеющая сталь ;;;;Женские;;38;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;7090;
Ц0000005267;1606 RGGY Anne Klein;ЧАСЫ/Наручные/Anne Klein;1606 RGGY;1;8250;Anne Klein;1606RGGY.jpg;0;0;0;0;0;1;0;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;32;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8250;
Ц0000002189;1606 WTGB Anne Klein;ЧАСЫ/Наручные/Anne Klein;1606 WTGB;1;8250;Anne Klein;1606 WTGB.jpg;0;0;0;1;0;0;0;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;32;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8250;
Ц0000009748;1610 BKGB Anne Klein;ЧАСЫ/Наручные/Anne Klein;1610 BKGB;1;12590;Anne Klein;1610 BKGB.jpg;0;0;0;1;0;0;0;;;;Керамика, сталь;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;Стандартный;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;12590;
Ц0000004868;1610 WTRG Anne Klein;ЧАСЫ/Наручные/Anne Klein;1610 WTRG;3;12590;Anne Klein;1610 WTRG.jpg;0;0;0;1;0;1;1;;;;Стальной  с IP покрытием и керамическими вставками;;;WR 30m;;;;;;Сталь с розовым IP покрытием;;;;Женские;;Стандартный;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;12590;
Ц0000002730;1618 CHRD Anne Klein;ЧАСЫ/Наручные/Anne Klein;1618 CHRD;1;7190;Anne Klein;1618-CHRD-Anne-Klein.jpg;0;0;0;0;0;1;0;;;;Кожаный ремешок;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;34;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;7190;
Ц0000002073;1692 GPBK  Anne Klein;ЧАСЫ/Наручные/Anne Klein;1692 GPBK;1;7090;Anne Klein;1692-GPBK.jpg;0;0;0;0;0;1;0;;;;Пластик, Сталь;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;38;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;7090;
Ц0000017758;1871 SVTT Anne Klein;ЧАСЫ/Наручные/Anne Klein;1871 SVTT;1;6850;Anne Klein;1871 SVTT .jpg;0;0;0;0;0;0;1;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;26;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;6850;
Ц0000005853;1906 BKGB Anne Klein;ЧАСЫ/Наручные/Anne Klein;1906 BKGB;0;11990;Anne Klein;1906-bkgb.jpg;0;0;0;0;0;0;0;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;11990;
Ц0000011681;1907 SVRT Anne Klein;ЧАСЫ/Наручные/Anne Klein;1907 SVRT;1;12390;Anne Klein;1907 SVRT.jpg;0;0;0;0;0;1;0;;;;Стальной;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;Стандартный;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;12390;
Ц0000005597;1928 RGWT Anne Klein;ЧАСЫ/Наручные/Anne Klein;1928 RGWT;1;8080;Anne Klein;1928-rgwt.jpg;0;0;0;0;0;0;1;;;;Кожаный ремешок;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;42;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8080;
Ц0000009056;1980 BKGB Anne Klein;ЧАСЫ/Наручные/Anne Klein;1980 BKGB;1;9990;Anne Klein;1980 BKGB.jpg;0;0;0;1;0;0;0;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;28;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;9990;
Ц0000010959;1980 DBGB Anne Klein;ЧАСЫ/Наручные/Anne Klein;1980 DBGB;1;9290;Anne Klein;1980 DBGB.jpg;0;0;0;1;0;0;0;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;28;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;9290;
Ц0000017521;1980 TERG Anne Klein;ЧАСЫ/Наручные/Anne Klein;1980 TERG;0;9490;Anne Klein;1980 TERG .jpg;0;0;0;0;0;0;0;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;28;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;9490;
Ц0000007941;2032 RGTP Anne Klein;ЧАСЫ/Наручные/Anne Klein;2032 RGTP;1;8080;Anne Klein;2032 RGTP.jpg;0;0;0;0;0;1;0;;;;Кожаный ремешок;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8080;
Ц0000016382;2130 RGLP  Anne Klein;ЧАСЫ/Наручные/Anne Klein;2130 RGLP;1;16490;Anne Klein;2130 RGLP.jpg;0;0;0;0;0;0;1;;;;Керамический;;;WR 30m;;;;;;Сталь с розовым IP покрытием;;;;Женские;;34;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;16490;
Ц0000009602;2156 IMIV Anne Klein;ЧАСЫ/Наручные/Anne Klein;2156 IMIV;1;8080;Anne Klein;2156 IMIV.jpg;0;0;0;0;0;1;0;;;;Кожаный ремешок;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8080;
Ц0000018065;2156 NVRG Anne Klein;ЧАСЫ/Наручные/Anne Klein;2156 NVRG;0;7490;Anne Klein;2156 NVRG .jpg;0;0;0;0;0;0;0;;;;Кожаный ремешок;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;7490;
Ц0000008648;2156 TMDT Anne Klein;ЧАСЫ/Наручные/Anne Klein;2156 TMDT;1;8080;Anne Klein;2156 TMDT .jpg;0;0;0;0;0;1;0;;;;Кожаный ремешок;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8080;
Ц0000018066;2157 SVSI Anne Klein;ЧАСЫ/Наручные/Anne Klein;2157 SVSI;1;6990;Anne Klein;2157 SVSI.jpg;0;0;0;0;0;1;0;;;;Кожаный ремешок;;;WR 30m;;;;;;Нержавеющая сталь ;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;6990;
Ц0000018901;2158 BYRG  Anne Klein;ЧАСЫ/Наручные/Anne Klein;2158 BYRG;2;8590;Anne Klein;2158 BYRG.jpg;0;0;0;1;0;1;0;;;;Стальной с розовым PVD покрытием, эмаль;;;WR 30m;;;;;;Сталь с розовым PVD покрытием, эмаль;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;;;8590;
Ц0000020141;2158 GYGB  Anne Klein;ЧАСЫ/Наручные/Anne Klein;2158 GYGB;1;7490;Anne Klein;2158 GYGB.jpg;0;0;0;0;0;0;1;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;7490;
Ц0000018758;2158GYRG  Anne Klein;ЧАСЫ/Наручные/Anne Klein;2158GYRG;3;8590;Anne Klein;2158GYRG.jpg;0;0;0;1;0;1;1;;;;Стальной с розовым PVD покрытием, эмаль;;;WR 30m;;;;;;Сталь с розовым PVD покрытием, эмаль;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;;;8590;
Ц0000018759;2158NVRG  Anne Klein;ЧАСЫ/Наручные/Anne Klein;2158NVRG;1;8590;Anne Klein;2158NVRG  Anne Klein.jpg;0;0;0;1;0;0;0;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8590;
Ц0000017759;2159 NVTT Anne Klein;ЧАСЫ/Наручные/Anne Klein;2159 NVTT;3;8490;Anne Klein;2159 NVTT .jpg;0;0;0;1;0;1;1;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8490;
Ц0000018067;2159 SVSV Anne Klein;ЧАСЫ/Наручные/Anne Klein;2159 SVSV;3;8490;Anne Klein;2159 SVSV.jpg;0;0;0;1;0;1;1;;;;Стальной;;;WR 30m;;;;;;Нержавеющая сталь ;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8490;
Ц0000016383;2159 SVTT Anne Klein;ЧАСЫ/Наручные/Anne Klein;2159 SVTT;2;8490;Anne Klein;2159 SVTT.jpg;0;0;0;1;0;1;0;;;;Стальной с частичным PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8490;
Ц0000006860;2160 MPGB Anne Klein;ЧАСЫ/Наручные/Anne Klein;2160 MPGB;1;10640;Anne Klein;2160-mpgb.jpg;0;0;0;0;0;0;1;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;28;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;10640;
Ц0000020142;2184 BKGB Anne Klein;ЧАСЫ/Наручные/Anne Klein;2184 BKGB;1;12590;Anne Klein;2184 BKGB.jpg;0;0;0;1;0;0;0;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;19*37;;;;;;Минеральное;США;;;;;Кварцевый;;;Прямоугольник;;;;;;Стрелочный;;12590;
Ц0000007917;2188 RGWT Anne Klein;ЧАСЫ/Наручные/Anne Klein;2188 RGWT;1;8080;Anne Klein;2188 RGWT.jpg;0;0;0;0;0;0;1;;;;Кожаный ремешок;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;34;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8080;
Ц0000018560;2209 SVSV Anne Klein;ЧАСЫ/Наручные/Anne Klein;2209 SVSV;1;12390;Anne Klein;2209 SVSV Anne Klein.jpg;0;0;0;1;0;0;0;;;;Стальной;;;WR;;;;;;Нержавеющая сталь ;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;12390;
Ц0000012380;2396 WTBN Anne Klein;ЧАСЫ/Наручные/Anne Klein;2396 WTBN;1;12050;Anne Klein;2396 WTBN.jpg;0;0;0;0;0;0;1;;;;Кожаный ремешок;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;24;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;12050;
Ц0000011896;2434 CHGB Anne Klein;ЧАСЫ/Наручные/Anne Klein;2434 CHGB;1;9990;Anne Klein;2434 CHGB.jpg;0;0;0;1;0;0;0;;;;Стальной с IP покрытием;;;WR 30m;;;;;;Сталь с желтым IP покрытием;;;;Женские;;28;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;9990;
Ц0000019801;2434 RGRG Anne Klein;ЧАСЫ/Наручные/Anne Klein;2434 RGRG;1;9490;Anne Klein;2434 RGRG.jpg;0;0;0;0;0;1;0;;;;Стальной с розовым PVD покрытием, эмаль;;;WR 30m;;;;;;Сталь с розовым PVD покрытием, эмаль;;;;Женские;;28;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;9490;
Ц0000008651;2435 SVTT Anne Klein;ЧАСЫ/Наручные/Anne Klein;2435 SVTT;1;9790;Anne Klein;2435 SVTT.jpg;0;0;0;1;0;0;0;;;;Стальной с частичным PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;28;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;9790;
Ц0000019051;2472 NMRG Anne Klein;ЧАСЫ/Наручные/Anne Klein;2472 NMRG;1;9490;Anne Klein;2472 NMRG Anne Klein.jpg;0;0;0;0;0;0;1;;;;Стальной с IP покрытием;;;WR 30m;;;;;;Сталь с IP покрытием;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;9490;
Ц0000017522;2512 TERG Anne Klein;ЧАСЫ/Наручные/Anne Klein;2512 TERG;1;7490;Anne Klein;2512 TERG .jpg;0;0;0;1;0;0;0;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;34;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;7490;
Ц0000008652;2614 GMGY Anne Klein;ЧАСЫ/Наручные/Anne Klein;2614 GMGY;1;8080;Anne Klein;2614 GMGY.jpg;0;0;0;0;0;1;0;;;;Кожаный ремешок;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;32;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8080;
Ц0000019998;2626 BKGB Anne Klein;ЧАСЫ/Наручные/Anne Klein;2626 BKGB;1;8590;Anne Klein;2626 BKGB.jpg;0;0;0;1;0;0;0;;;;Стальной с PVD покрытием;;;WR;;;;;;Сталь с PVD покрытием;;;;Женские;;30;;;;;;Минеральное;США;США;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8590;
Ц0000019999;2627 BKSV Anne Klein;ЧАСЫ/Наручные/Anne Klein;2627 BKSV;1;8490;Anne Klein;2627 BKSV.jpg;0;0;0;0;0;0;1;;;;Стальной;;;WR;;;;;;Нержавеющая сталь ;;;;Женские;;30;;;;;;Минеральное;США;США;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8490;
